ID,ND1,ND2,ND3,ND4,ND5,HFD1,HFD2,HFD3,HFD4,HFD5
92,2.28E-05,4.12E-05,5.50E-05,1.25E-05,2.80E-05,9.75E-06,1.22E-05,8.89E-06,1.31E-05,6.80E-06
232,8.58E-06,3.71E-05,3.77E-05,5.83E-05,4.90E-05,1.04E-05,9.11E-06,1.77E-05,1.54E-05,1.77E-05
305,6.36E-05,0.000177921,0.000149828,0.000270104,0.00030988,6.91E-05,7.62E-05,4.81E-05,8.13E-05,6.77E-05
514,1.44E-05,1.61E-05,1.31E-05,2.03E-05,1.57E-05,3.41E-06,4.97E-06,1.06E-05,9.53E-06,6.24E-06
518,0.003262059,0.00329435,0.002819461,0.003487846,0.003208776,0.003493143,0.003852678,0.003744675,0.004896901,0.004220553
537,2.68E-05,4.14E-05,4.92E-05,6.11E-05,6.90E-05,2.14E-05,2.38E-05,3.08E-05,2.77E-05,2.50E-05
662,0.000511989,0.006392449,0.002469528,0.002689287,0.00305973,0.005999644,0.009032329,0.007113881,0.012450911,0.009945443
705,2.24E-05,3.19E-05,2.97E-05,3.47E-05,5.00E-05,9.11E-06,1.20E-05,8.65E-06,1.29E-05,1.27E-05
733,2.19E-05,2.03E-05,2.20E-05,2.18E-05,2.35E-05,1.57E-05,1.01E-05,5.99E-06,1.08E-05,1.03E-05
816,5.22E-05,8.81E-05,0.000120874,0.000124707,0.000143765,5.97E-05,5.44E-05,5.35E-05,7.56E-05,5.37E-05
879,2.19E-06,1.88E-06,2.97E-06,1.44E-06,1.54E-06,2.49E-06,2.63E-06,3.55E-06,2.38E-06,3.38E-06
980,1.97E-05,1.49E-05,1.86E-05,1.88E-05,1.37E-05,1.01E-05,1.32E-05,1.23E-05,6.64E-06,7.32E-06
1023,5.77E-06,1.03E-05,1.71E-05,2.34E-05,2.43E-05,3.61E-06,3.18E-06,3.53E-06,3.98E-06,1.18E-06
1046,2.21E-05,5.04E-05,7.22E-05,5.74E-05,0.000100309,1.63E-05,1.76E-05,1.79E-05,2.33E-05,1.79E-05
1062,1.76E-05,4.34E-05,5.19E-05,5.31E-05,7.24E-05,1.63E-05,1.96E-05,1.77E-05,1.66E-05,1.56E-05
1112,5.45E-05,0.000107538,0.000142707,0.000172054,0.000154424,6.60E-05,6.37E-05,5.85E-05,5.51E-05,5.72E-05
1126,3.41E-06,7.61E-05,0.000107145,0.000117803,7.40E-05,9.45E-06,6.80E-06,1.35E-05,3.10E-06,4.68E-06
1303,1.41E-05,1.10E-05,1.37E-05,1.69E-05,1.57E-05,9.55E-06,1.47E-05,1.06E-05,1.04E-05,9.69E-06
1367,3.06E-06,6.75E-06,1.32E-05,1.23E-05,1.26E-05,9.74E-05,0.000119173,2.92E-06,0.000118415,0.000129439
1391,3.42E-05,0.000132493,0.000156186,8.86E-05,0.000184077,2.35E-05,3.33E-05,2.27E-05,3.30E-05,3.30E-05
1459,2.61E-05,1.79E-05,2.23E-05,2.09E-05,2.66E-05,8.85E-06,2.30E-05,8.35E-06,1.31E-05,9.48E-06
1479,1.17E-05,4.93E-06,6.93E-06,7.12E-06,7.14E-06,3.99E-06,6.46E-06,3.73E-06,4.77E-06,2.14E-06
