id	MS2 name	mzmed	rtmed	Fold_change	log2FC	Pvalue	VIP
23071	Glycodeoxycholic acid	-897.6100827	3.19075	0.081451945	-4.598925852	0.048378141	1.468343785
12499	Glycocholic acid	-464.2962427	4.992858333	0.05838205	-4.414967176	0.032878822	1.577077968
274	3R-hydroxy-butanoic acid	-103.0396342	3.1253	0.105472878	-4.382591762	0.039938283	1.542364002
12620	Cholic acid	-467.2955865	3.493633333	0.045623605	-4.240778528	0.023652363	1.652557878
3849	Zingerone	-253.1058743	2.576216667	0.066578117	-3.791223447	0.012120498	1.752714322
24902	Ginsenoside Rc	-1077.572221	3.196508333	0.150315544	-3.667692188	0.008332574	1.700864416
4482	Genistein	-269.042849	0.684633333	0.049749438	-3.616103962	0.030188434	1.596005725
1906	N-Acetyl-DL-methionine	-190.052508	3.100741667	0.191112496	-3.390819016	0.021164823	1.596798114
7119	"7Z, 10Z, 13Z, 16Z, 19Z-Docosapentaenoic acid"	-329.2489562	2.120566667	0.094479791	-3.253750463	0.034511929	1.582799729
18364	5-Oxo-ETE	-635.4436215	0.839983333	0.10048598	-3.174155022	0.040047063	1.530109985
7359	6-Phospho-D-gluconate	-335.0384573	0.3968	0.107781802	-2.886347818	0.021869665	1.643293296
12101	1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	-452.2826431	3.49045	0.125573596	-2.800731318	0.021612884	1.645652747
1654	D-Quinovose	-180.0862963	6.263283333	0.152576747	-2.773844381	0.031155922	1.560303418
3439	Pentobarbital	-242.1454472	3.169316667	0.139545547	-2.747908457	0.009552158	1.780261328
3033	Sedoheptulose	-231.0433084	0.392483333	0.13497437	-2.649527275	0.030742114	1.601246706
5077	4'-Hydroxychalcone	-283.0942972	2.336941667	0.150240969	-2.610716754	0.045159983	1.514833626
11340	Glycolithocholic acid	-432.305278	2.5574	0.206213342	-2.559021022	0.000305042	1.918396321
20558	PS(16:0/16:0)	-734.4966012	0.74105	0.202516343	-2.373507433	0.01817535	1.67849158
9028	6k-PGF1alpha-d4	-373.2555335	1.914333333	0.179595377	-2.287473188	0.022226127	1.65116267
3884	"3,4,5-Trimethoxycinnamic acid"	-254.1096713	2.62535	0.292600999	-2.166942546	0.000711512	1.905775244
4105	Mesaconic acid	-259.0398308	0.429116667	0.188714715	-2.102838377	0.035405455	1.555507263
8139	Chlorogenic acid	-353.0935577	2.677875	0.215781384	-1.996290068	0.022222491	1.630183309
6359	Arachidic acid	-311.2920527	0.670166667	0.267413056	-1.831620329	0.020094815	1.698041041
20833	1-Palmitoyl-2-oleoyl-phosphatidylglycerol	-747.5086316	0.752516667	0.312454964	-1.824589586	0.040430154	1.467745656
3251	4-Methoxycinnamic acid	-237.0752051	0.791025	0.194224599	-1.814420289	0.040121249	1.519149625
1848	N-Acetyl-L-glutamate	-188.0553362	6.082483333	0.261730221	-1.788362914	0.024081414	1.636499213
797	Salicylic acid	-137.0239845	0.618366667	0.38338532	-1.742492828	0.044691303	1.409073349
946	Butyl lactate	-145.0860472	1.865416667	0.262812996	-1.730157061	0.04791372	1.411779121
2321	trans-cinnamate	-207.0644559	2.655908333	0.303188435	-1.716029656	0.008502039	1.733255811
2955	Pindone	-229.0842582	2.773466667	0.314410579	-1.66826857	0.004034008	1.822021214
1787	Undecanoic Acid	-185.1532934	0.780958333	0.363367751	-1.557573549	0.009117675	1.686467549
272	D(-)-beta-hydroxy butyric acid	-103.0397449	3.725283333	0.327910208	-1.552474858	0.008587442	1.773656503
2467	Tridecanoic acid (Tridecylic acid)	-213.1842057	0.7625	0.37716744	-1.501909911	0.025167246	1.540706235
3786	"1,2,3-Trihydroxybenzene"	-251.0535137	2.667166667	0.352753616	-1.499840541	0.007724341	1.743833836
2110	Dodecanoic acid	-199.1686045	0.7824	0.379286267	-1.44060956	0.003907942	1.78484811
2622	DL-Vanillylmandelic acid	-219.0265485	1.9656	0.36393679	-1.405014125	0.019274298	1.621872619
1629	Aspirin	-179.0338134	1.972466667	0.395585558	-1.378497503	0.018798075	1.562063441
2011	Homoveratric acid	-195.0645336	2.430683333	0.336372536	-1.377943027	0.032144456	1.587456095
1927	Quinate	-191.0544505	5.406141667	0.355347475	-1.336665586	0.043938748	1.458648644
3319	Dulcin	-239.1056522	1.314083333	0.399459056	-1.327111818	0.007936087	1.719463609
1615	Cyclohexylsulfamate	-178.0524846	1.074483333	0.4514017	-1.234631799	0.023596196	1.496433763
7545	Cytidine 5'-monophosphate (CMP)	-339.0679811	2.6877	0.415435903	-1.234206397	0.006005486	1.807717012
3489	alpha-hydroxy myristic acid	-243.1941233	0.804608333	0.44985253	-1.23270059	0.026642672	1.494860763
3741	Gamma-Glutamylcysteine	-249.0608082	2.098116667	0.434815303	-1.223597279	0.001841323	1.818755349
1843	Kynurenic acid	-188.0338581	2.846733333	0.395847729	-1.223494984	0.02945264	1.572828248
1613	Hippuric acid	-178.0497806	2.934366667	0.391927491	-1.217772815	0.039724223	1.538756811
8312	D-(+)-Galactosamine	-357.1586918	0.432216667	0.441618564	-1.209533394	0.025825511	1.509399113
7811	Phenethicillin	-345.0934744	1.292233333	0.467823467	-1.136433731	0.017942968	1.570402629
753	2-Methylbenzoic acid	-135.0443388	2.0063	0.452061035	-1.13329283	0.004953914	1.80539373
9444	S-Adenosyl-L-homocysteine	-384.1174992	2.934158333	0.423489162	-1.127698656	0.041884046	1.510921611
7839	Hexadecanedioic acid	-345.2204395	3.242666667	0.46270587	-1.11085551	0.009282841	1.677231004
4990	Allocystathionine	-281.079035	3.655766667	0.425357574	-1.1065705	0.034015483	1.572391178
2363	D-Ribose	-209.0651353	2.55375	0.526909531	-1.081110714	0.044101417	1.347837452
1269	D-Mannose	-161.0445469	4.786516667	0.500260448	-1.020130829	0.006559136	1.717738176
6946	Heneicosanoic acid	-325.3071458	0.663166667	0.541716183	-0.882668895	0.028837454	1.516970818
18053	Leukotriene C4	-624.288112	3.886141667	0.581223917	-0.858157812	0.030777865	1.4199656
9083	Riboflavin	-375.1260078	3.323058333	0.539449907	-0.848037099	0.038677437	1.527320137
520	Benzoic acid	-121.0290756	1.951283333	0.553372104	-0.798611165	0.034137113	1.501977458
1634	myo-Inositol	-179.0547837	5.796058333	0.563905863	-0.793993315	0.046541312	1.384349387
1714	"2,4-Dinitrophenol"	-183.0033929	1.746116667	0.578741889	-0.750415743	0.037420299	1.42677468
15691	Manumycin A	-549.272125	3.925333333	0.650541611	-0.606589238	0.018737702	1.57858591
1626	Oxalate	-178.9822958	0.263916667	0.748071565	-0.423214332	0.047144418	1.373881303
14210	17.beta.-Estradiol 3-.beta.-D-glucuronide	507.2219018	2.171325	1.612887779	0.724040073	0.025609933	1.479783755
5694	S-Methyl-5'-thioadenosine	296.0790077	1.65855	1.757462932	0.885420963	0.023265483	1.459251421
1009	D-Xylulose	149.0427164	0.56415	1.998805641	1.011950728	0.023300746	1.527341724
4739	gamma-L-Glutamyl-L-glutamic acid	275.0856514	7.183516667	2.011842555	1.118443142	0.04073446	1.37986128
8708	Nervonic acid	365.3378138	0.65215	2.081534975	1.133318074	0.02472717	1.453298454
2920	(R)-mevalonic acid 5-Phosphate	228.1415018	3.781041667	2.163708292	1.144615791	0.033266244	1.450431087
7301	Docosatrienoic Acid	333.2732217	0.65755	2.219998132	1.259196299	0.047253877	1.333764567
2845	Deoxycytidine	226.0811982	4.2741	2.430753002	1.308243194	0.015215255	1.60791261
13589	Enterostatin human	495.2715851	0.663783333	2.587325921	1.443302897	0.010365767	1.664662041
24482	Adynerin	1031.604385	0.741166667	2.761458094	1.518415362	0.048819135	1.428073789
6041	Arachidonic Acid (peroxide free)	303.2306924	0.696766667	2.633668361	1.545379332	0.008495193	1.646032717
16135	Cer(d18:1/18:1(9Z))	562.512236	0.5478	2.712342727	1.584292833	0.010475679	1.656172043
2461	d-Dethiobiotin	213.1225604	4.081641667	2.603108975	1.616373569	0.031825188	1.426982869
17360	Garcinol	601.3665643	2.685016667	3.142335169	1.645473311	0.003430263	1.834465009
7752	"3',5'-Cyclic guanosine monophosphate"	344.039617	1.432758333	3.82594528	1.733820931	0.036080176	1.550447719
5808	Phytosphingosine	298.2716446	1.324733333	3.338101062	1.904197361	0.001099181	1.872990128
1690	L-homocysteic acid	182.0115441	3.2755	3.150565726	1.90495981	0.045755011	1.344921987
2114	Cysteine-S-sulfate	199.9677266	4.7477	3.586211732	1.970226449	0.021278947	1.622513683
3515	Bufexamac	244.0917337	5.473875	4.577715455	2.068958608	0.019587074	1.651643277
7214	Adrenic Acid	331.261061	0.672316667	3.547065393	2.171687608	0.004412331	1.709268732
13138	Taurolithocholic acid	482.2892311	1.259308333	6.219171344	2.695719567	0.002101837	1.926930373
