# Constructed from biom file
#OTU ID	ND1	ND3	ND8	ND4	ND5	ND6	ND7	ND2	ND9	MED1	MED6	MED3	MED8	MED5	MED2	MED7	MED4	MED9	HED1	HED5	HED9	HED7	HED2	HED6	HED4	HED3	HED8	taxonomy
OTU1	2018.0	2224.0	19.0	12.0	197.0	100.0	4367.0	20.0	153.0	5117.0	3394.0	26125.0	23683.0	39566.0	40465.0	21585.0	18081.0	34961.0	15888.0	15458.0	15752.0	40739.0	37246.0	34610.0	12776.0	54233.0	20762.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__uncultured_bacterium_f_Bifidobacteriaceae; s__uncultured_bacterium_f_Bifidobacteriaceae
OTU10	1194.0	629.0	1588.0	1419.0	412.0	992.0	19.0	840.0	195.0	1926.0	1957.0	263.0	336.0	283.0	149.0	78.0	73.0	3.0	170.0	221.0	289.0	1097.0	1119.0	1494.0	69.0	5.0	36.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Paeniclostridium; s__uncultured_bacterium_g_Paeniclostridium
OTU100	56.0	50.0	89.0	22.0	11.0	81.0	0.0	1.0	0.0	248.0	247.0	13.0	23.0	14.0	3.0	0.0	0.0	2.0	6.0	7.0	7.0	87.0	84.0	36.0	0.0	1.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__uncultured_bacterium_g_Lactobacillus
OTU101	153.0	94.0	121.0	84.0	34.0	23.0	1.0	1.0	0.0	96.0	97.0	20.0	42.0	43.0	17.0	0.0	0.0	0.0	17.0	24.0	36.0	164.0	166.0	204.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__uncultured_bacterium_g_Providencia
OTU102	50.0	48.0	75.0	36.0	113.0	85.0	79.0	57.0	55.0	17.0	3.0	30.0	33.0	41.0	44.0	22.0	20.0	38.0	221.0	203.0	213.0	6.0	17.0	8.0	108.0	9.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus_1; s__uncultured_bacterium_g_Coprococcus_1
OTU103	7.0	12.0	194.0	95.0	25.0	18.0	11.0	178.0	8.0	18.0	18.0	58.0	82.0	50.0	49.0	51.0	30.0	24.0	3.0	4.0	3.0	10.0	16.0	6.0	2.0	17.0	7.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae_UCG-009; s__uncultured_bacterium_g_Erysipelotrichaceae_UCG-009
OTU104	3.0	2.0	100.0	80.0	22.0	16.0	3.0	212.0	43.0	9.0	2.0	13.0	21.0	7.0	2.0	36.0	6.0	1.0	192.0	157.0	146.0	0.0	0.0	0.0	146.0	0.0	0.0	k__Bacteria; p__Kiritimatiellaeota; c__Kiritimatiellae; o__WCHB1-41; f__uncultured_bacterium_o_WCHB1-41; g__uncultured_bacterium_o_WCHB1-41; s__uncultured_bacterium_o_WCHB1-41
OTU1048	4.0	6.0	24.0	14.0	8.0	3.0	26.0	29.0	18.0	1.0	3.0	17.0	21.0	9.0	9.0	39.0	20.0	19.0	8.0	5.0	14.0	1.0	0.0	2.0	13.0	8.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Syntrophococcus; s__uncultured_bacterium_g_Syntrophococcus
OTU105	2.0	1.0	70.0	40.0	12.0	6.0	12.0	67.0	6.0	23.0	11.0	61.0	103.0	22.0	30.0	69.0	44.0	15.0	131.0	187.0	191.0	7.0	14.0	8.0	114.0	10.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__uncultured_bacterium_f_Lachnospiraceae; s__uncultured_bacterium_f_Lachnospiraceae
OTU1053	0.0	4.0	5.0	0.0	0.0	11.0	0.0	0.0	0.0	42.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	5.0	5.0	0.0	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma; s__uncultured_bacterium_g_Acholeplasma
